ano,mes,sigla_uf,tipo_consumo,numero_consumidores,consumo
2004,1,TO,Total,,65876
2004,1,BA,Total,,1444451
2004,1,PR,Total,,1596274
2004,1,RS,Total,,1780912
2004,1,GO,Total,,630624
2004,1,MA,Total,,737033
2004,1,PI,Total,,131052
2004,1,RO,Total,,112812
2004,1,DF,Total,,311459
2004,1,SE,Total,,192207
2004,1,MG,Total,,3732811
2004,1,MS,Total,,272917
2004,1,RJ,Total,,2612753
2004,1,PA,Total,,1011353
2004,1,PE,Total,,643102
2004,1,RR,Total,,31695
2004,1,RN,Total,,268614
2004,1,AL,Total,,285489
2004,1,ES,Total,,607655
2004,1,AM,Total,,274773
2004,1,MT,Total,,292173
2004,1,AC,Total,,34840
2004,1,AP,Total,,43084
2004,1,SC,Total,,1132926
2004,1,SP,Total,,7976304
2004,1,PB,Total,,236448
2004,1,CE,Total,,518714
2004,2,SE,Total,,182026
2004,2,BA,Total,,1344183
2004,2,PR,Total,,1635576
2004,2,RS,Total,,1824346
2004,2,GO,Total,,602529
2004,2,AL,Total,,266555
2004,2,AM,Total,,278429
2004,2,DF,Total,,285928
2004,2,AC,Total,,33050
2004,2,PB,Total,,226289
2004,2,PE,Total,,612231
2004,2,RR,Total,,30802
2004,2,AP,Total,,28944
2004,2,RJ,Total,,2630033
2004,2,RO,Total,,105806
2004,2,CE,Total,,469181
2004,2,RN,Total,,233950
2004,2,ES,Total,,583260
2004,2,MG,Total,,3582369
2004,2,MA,Total,,694591
2004,2,PI,Total,,110758
2004,2,MT,Total,,296942
2004,2,SC,Total,,1230305
2004,2,MS,Total,,270613
2004,2,PA,Total,,967109
2004,2,TO,Total,,63306
2004,2,SP,Total,,7919049
2004,3,RN,Total,,257966
2004,3,TO,Total,,67551
2004,3,CE,Total,,508966
2004,3,DF,Total,,300453
2004,3,MT,Total,,332886
2004,3,RO,Total,,106668
2004,3,AP,Total,,42451
2004,3,ES,Total,,599525
2004,3,MA,Total,,743086
2004,3,AC,Total,,33858
2004,3,RR,Total,,30275
2004,3,PI,Total,,112344
2004,3,SE,Total,,195611
2004,3,MG,Total,,3605412
2004,3,PR,Total,,1656643
2004,3,RS,Total,,1941380
2004,3,PE,Total,,658774
2004,3,BA,Total,,1393925
2004,3,AL,Total,,259855
2004,3,RJ,Total,,2582060
2004,3,SC,Total,,1300745
2004,3,PA,Total,,1022952
2004,3,AM,Total,,270420
2004,3,PB,Total,,242215
2004,3,SP,Total,,8116797
2004,3,GO,Total,,622783
2004,3,MS,Total,,278720
2004,4,PI,Total,,123168
2004,4,MG,Total,,3668628
2004,4,PA,Total,,1032233
2004,4,MS,Total,,290653
2004,4,SC,Total,,1215161
2004,4,AP,Total,,40234
2004,4,GO,Total,,644083
2004,4,DF,Total,,322911
2004,4,AM,Total,,279044
2004,4,RR,Total,,33035
2004,4,PE,Total,,674646
2004,4,SP,Total,,8623046
2004,4,AL,Total,,289626
2004,4,PR,Total,,1691910
2004,4,RS,Total,,1966239
2004,4,BA,Total,,1419046
2004,4,MA,Total,,728379
2004,4,RJ,Total,,2626340
2004,4,AC,Total,,34961
2004,4,ES,Total,,583307
2004,4,RO,Total,,107580
2004,4,TO,Total,,71774
2004,4,CE,Total,,523200
2004,4,SE,Total,,204065
2004,4,MT,Total,,353039
2004,4,PB,Total,,235364
2004,4,RN,Total,,264504
2004,5,PI,Total,,121261
2004,5,SP,Total,,8096487
2004,5,CE,Total,,501515
2004,5,MG,Total,,3692795
2004,5,GO,Total,,654000
2004,5,AP,Total,,38522
2004,5,SE,Total,,186831
2004,5,PA,Total,,1057805
2004,5,PE,Total,,649438
2004,5,MA,Total,,751060
2004,5,RN,Total,,258761
2004,5,AC,Total,,29766
2004,5,AM,Total,,283866
2004,5,RO,Total,,112115
2004,5,RJ,Total,,2530944
2004,5,AL,Total,,284219
2004,5,RR,Total,,28944
2004,5,ES,Total,,586400
2004,5,MS,Total,,267345
2004,5,BA,Total,,1436199
2004,5,SC,Total,,1223449
2004,5,RS,Total,,1842967
2004,5,MT,Total,,328933
2004,5,DF,Total,,315509
2004,5,TO,Total,,74458
2004,5,PR,Total,,1656608
2004,5,PB,Total,,234298
2004,6,AC,Total,,32048
2004,6,MS,Total,,251956
2004,6,PB,Total,,236512
2004,6,RS,Total,,1774798
2004,6,AM,Total,,285251
2004,6,RR,Total,,29531
2004,6,MT,Total,,328386
2004,6,DF,Total,,309763
2004,6,PI,Total,,122482
2004,6,AL,Total,,284384
2004,6,SP,Total,,8191582
2004,6,GO,Total,,687091
2004,6,RO,Total,,107816
2004,6,PE,Total,,642487
2004,6,MA,Total,,730462
2004,6,AP,Total,,41854
2004,6,RJ,Total,,2366320
2004,6,PR,Total,,1621651
2004,6,CE,Total,,511009
2004,6,TO,Total,,77738
2004,6,ES,Total,,571593
2004,6,SE,Total,,193240
2004,6,PA,Total,,1067141
2004,6,SC,Total,,1160112
2004,6,RN,Total,,263985
2004,6,BA,Total,,1424739
2004,6,MG,Total,,3769021
2004,7,SP,Total,,8302446
2004,7,RN,Total,,249242
2004,7,PB,Total,,235539
2004,7,AP,Total,,40924
2004,7,AL,Total,,282241
2004,7,GO,Total,,688157
2004,7,RO,Total,,108589
2004,7,SE,Total,,197780
2004,7,RS,Total,,1781687
2004,7,BA,Total,,1434806
2004,7,ES,Total,,585851
2004,7,AM,Total,,295884
2004,7,MS,Total,,251231
2004,7,PE,Total,,619249
2004,7,SC,Total,,1195777
2004,7,RJ,Total,,2466119
2004,7,AC,Total,,33659
2004,7,RR,Total,,28212
2004,7,TO,Total,,74534
2004,7,PR,Total,,1621327
2004,7,MG,Total,,3739868
2004,7,MA,Total,,741749
2004,7,PI,Total,,120148
2004,7,CE,Total,,495416
2004,7,MT,Total,,353610
2004,7,DF,Total,,318750
2004,7,PA,Total,,1083198
2004,8,TO,Total,,78675
2004,8,PR,Total,,1658482
2004,8,RN,Total,,262303
2004,8,ES,Total,,589390
2004,8,MA,Total,,757367
2004,8,RO,Total,,110858
2004,8,MT,Total,,344131
2004,8,DF,Total,,314954
2004,8,MS,Total,,270452
2004,8,GO,Total,,716152
2004,8,SP,Total,,8389078
2004,8,RJ,Total,,2407957
2004,8,AL,Total,,281415
2004,8,AP,Total,,41429
2004,8,SE,Total,,193385
2004,8,SC,Total,,1212734
2004,8,PI,Total,,123974
2004,8,PE,Total,,634549
2004,8,MG,Total,,3803148
2004,8,RS,Total,,1781966
2004,8,AC,Total,,34837
2004,8,PB,Total,,233748
2004,8,BA,Total,,1420586
2004,8,PA,Total,,1138723
2004,8,AM,Total,,296649
2004,8,RR,Total,,28722
2004,8,CE,Total,,531184
2004,9,SC,Total,,1190300
2004,9,SE,Total,,195500
2004,9,PI,Total,,135732
2004,9,MA,Total,,745555
2004,9,RR,Total,,29796
2004,9,PR,Total,,1696237
2004,9,PA,Total,,1069492
2004,9,AM,Total,,308616
2004,9,MS,Total,,270627
2004,9,ES,Total,,598050
2004,9,SP,Total,,8605471
2004,9,GO,Total,,750537
2004,9,AC,Total,,36879
2004,9,AL,Total,,279917
2004,9,PE,Total,,681675
2004,9,RS,Total,,1767873
2004,9,RN,Total,,265269
2004,9,RJ,Total,,2494812
2004,9,DF,Total,,341926
2004,9,CE,Total,,564012
2004,9,RO,Total,,116058
2004,9,MT,Total,,364076
2004,9,MG,Total,,3895351
2004,9,BA,Total,,1457221
2004,9,PB,Total,,245145
2004,9,TO,Total,,82175
2004,9,AP,Total,,44138
2004,10,PI,Total,,135439
2004,10,AC,Total,,36948
2004,10,MA,Total,,786961
2004,10,PB,Total,,253093
2004,10,RR,Total,,31634
2004,10,SC,Total,,1192551
2004,10,AL,Total,,290729
2004,10,RS,Total,,1728423
2004,10,GO,Total,,746582
2004,10,PR,Total,,1669722
2004,10,RJ,Total,,2567499
2004,10,RO,Total,,120268
2004,10,ES,Total,,609691
2004,10,CE,Total,,553697
2004,10,RN,Total,,276664
2004,10,SE,Total,,200142
2004,10,MT,Total,,362464
2004,10,MG,Total,,3885073
2004,10,PA,Total,,1090780
2004,10,AM,Total,,319945
2004,10,SP,Total,,8777612
2004,10,PE,Total,,687210
2004,10,MS,Total,,278831
2004,10,AP,Total,,46695
2004,10,TO,Total,,77895
2004,10,BA,Total,,1473942
2004,10,DF,Total,,355619
2004,11,BA,Total,,1495174
2004,11,MT,Total,,346869
2004,11,RO,Total,,119959
2004,11,AP,Total,,46641
2004,11,RR,Total,,33054
2004,11,PR,Total,,1684955
2004,11,RS,Total,,1621708
2004,11,PB,Total,,253953
2004,11,SE,Total,,210695
2004,11,AM,Total,,310684
2004,11,CE,Total,,575825
2004,11,GO,Total,,649537
2004,11,AL,Total,,289596
2004,11,SP,Total,,8607786
2004,11,SC,Total,,1222754
2004,11,TO,Total,,74206
2004,11,MG,Total,,4019478
2004,11,DF,Total,,335532
2004,11,PE,Total,,705356
2004,11,ES,Total,,604979
2004,11,PA,Total,,1097026
2004,11,RJ,Total,,2572550
2004,11,AC,Total,,38066
2004,11,MS,Total,,272868
2004,11,PI,Total,,138289
2004,11,RN,Total,,293826
2004,11,MA,Total,,745748
2004,12,CE,Total,,575617
2004,12,AP,Total,,46518
2004,12,AM,Total,,321545
2004,12,PI,Total,,132442
2004,12,ES,Total,,614381
2004,12,SC,Total,,1221422
2004,12,MS,Total,,286730
2004,12,MT,Total,,344088
2004,12,RS,Total,,1760276
2004,12,TO,Total,,74505
2004,12,MG,Total,,3914811
2004,12,MA,Total,,757937
2004,12,PB,Total,,258616
2004,12,DF,Total,,345619
2004,12,SP,Total,,8543644
2004,12,PE,Total,,730310
2004,12,BA,Total,,1503809
2004,12,AC,Total,,36879
2004,12,GO,Total,,658675
2004,12,RO,Total,,116378
2004,12,SE,Total,,214853
2004,12,PR,Total,,1683515
2004,12,PA,Total,,1110612
2004,12,RJ,Total,,2677810
2004,12,AL,Total,,296464
2004,12,RN,Total,,300457
2004,12,RR,Total,,34181
2004,1,RJ,Cativo,,2295758
2004,1,SC,Cativo,,1111677
2004,1,MG,Cativo,,2732631
2004,1,BA,Cativo,,1356735
2004,1,RR,Cativo,,31695
2004,1,AP,Cativo,,43084
2004,1,MS,Cativo,,259818
2004,1,ES,Cativo,,478513
2004,1,TO,Cativo,,65876
