id_cliente;idade;classe_trabalho;escolaridade;id_estado;estado_civil;raca;qtde_filhos;salario
1;39;Servidor Público;Ensino Médio Completo;2;Solteiro;Branco;2;4754
2;50;Autônomo;Superior Incompleto;24;Casado;Branco;1;3923
3;38;Funcionário Setor Privado;Ensino Médio Incompleto;4;Divorciado;Branco;0;1100
4;53;Funcionário Setor Privado;Ensino Médio Incompleto;24;Casado;Negro;1;1100
5;28;Funcionário Setor Privado;Ensino Médio Completo;15;Casado;Negro;0;3430
6;37;Funcionário Setor Privado;Mestrado;24;Casado;Branco;1;10787
7;49;Funcionário Setor Privado;Ensino Fundamental Completo;23;União Estável;Negro;1;1100
8;52;Autônomo;Ensino Médio Incompleto;13;Casado;Branco;4;1100
9;31;Funcionário Setor Privado;Mestrado;17;Solteiro;Branco;4;6031
10;42;Funcionário Setor Privado;Ensino Médio Completo;16;Casado;Branco;5;3798
11;37;Funcionário Setor Privado;Superior Completo;4;Casado;Negro;4;10316
12;30;Servidor Público;Superior Incompleto;12;Casado;Pardo;5;3369
13;23;Funcionário Setor Privado;Pós-Graduado;22;Solteiro;Branco;;5316
14;32;Funcionário Setor Privado;Ensino Médio Completo;3;Solteiro;Negro;1;2897
15;40;Funcionário Setor Privado;Ensino Médio Completo;12;Casado;Pardo;5;3269
16;34;Funcionário Setor Privado;Ensino Fundamental Incompleto;15;Casado;Indígena;5;1100
17;25;Autônomo;Ensino Médio Incompleto;14;Solteiro;Branco;3;1100
18;32;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;5;1100
19;38;Funcionário Setor Privado;Ensino Médio Incompleto;23;Casado;Branco;1;1100
20;43;Autônomo;Mestrado;24;Divorciado;Branco;1;6120
21;40;Funcionário Setor Privado;Doutorado;8;Casado;Branco;;12535
22;54;Funcionário Setor Privado;Ensino Médio Incompleto;27;Separado;Negro;2;1100
23;35;Funcionário Público;Ensino Fundamental Completo;7;Casado;Negro;4;1511
24;43;Funcionário Setor Privado;Ensino Médio Incompleto;22;Casado;Branco;3;1100
25;59;Funcionário Setor Privado;Ensino Médio Incompleto;25;Divorciado;Branco;2;1100
26;56;Empresário;Ensino Médio Completo;27;Casado;Branco;0;10671
27;19;Estagiário;Ensino Médio Incompleto;2;Solteiro;Branco;2;1100
28;54;Desempregado;Ensino Médio Completo;8;Casado;Pardo;4;0
29;39;Funcionário Setor Privado;Ensino Médio Incompleto;19;Divorciado;Branco;0;1100
30;49;Funcionário Setor Privado;Ensino Médio Incompleto;21;Casado;Branco;5;1100
31;23;Empresário;Ensino Médio Completo;27;Solteiro;Branco;3;13883
32;20;Funcionário Setor Privado;Ensino Médio Completo;6;Solteiro;Negro;0;2635
33;45;Funcionário Setor Privado;Ensino Médio Completo;27;Divorciado;Branco;5;2476
34;30;Funcionário Público;Ensino Médio Completo;12;Casado;Branco;3;3901
35;22;Servidor Público;Ensino Médio Completo;16;Casado;Negro;5;5257
36;48;Funcionário Setor Privado;Ensino Médio Incompleto;18;Solteiro;Branco;1;1100
37;21;Funcionário Setor Privado;Ensino Médio Completo;17;Solteiro;Branco;2;2361
38;19;Funcionário Setor Privado;Ensino Médio Incompleto;27;Casado;Branco;1;1100
39;31;Funcionário Setor Privado;Ensino Médio Completo;25;Casado;Branco;1;2583
40;48;Autônomo;Ensino Médio Completo;10;Casado;Branco;5;3669
41;31;Funcionário Setor Privado;Ensino Fundamental Completo;4;Casado;Branco;5;1100
42;53;Autônomo;Ensino Médio Completo;8;Casado;Branco;2;2067
43;24;Funcionário Setor Privado;Ensino Médio Completo;21;Casado;Branco;0;2682
44;49;Funcionário Setor Privado;Ensino Médio Incompleto;27;Separado;Branco;5;1100
45;25;Funcionário Setor Privado;Superior Completo;23;Solteiro;Branco;2;8359
46;57;Funcionário Público;Superior Incompleto;24;Casado;Negro;4;4789
47;53;Funcionário Setor Privado;Pós-Graduado;26;Casado;Branco;0;11972
48;44;Funcionário Setor Privado;Mestrado;19;Divorciado;Branco;2;10065
49;41;Servidor Público;Ensino Médio Completo;23;Casado;Branco;4;3657
50;29;Funcionário Setor Privado;Ensino Médio Completo;22;Solteiro;Branco;4;3484
51;25;Funcionário Setor Privado;Ensino Médio Completo;12;Casado;Amarelo;4;2656
52;18;Funcionário Setor Privado;Ensino Médio Incompleto;6;Solteiro;Branco;1;1100
53;47;Funcionário Setor Privado;Mestrado;26;Casado;Branco;3;8630
54;50;Funcionário Público;Ensino Médio Completo;15;Divorciado;Branco;3;5217
55;47;MEI;Ensino Médio Incompleto;19;Divorciado;Branco;4;3603
56;43;Funcionário Setor Privado;Ensino Médio Completo;11;Casado;Branco;1;3357
57;46;Funcionário Setor Privado;Ensino Fundamental Incompleto;13;Casado;Branco;5;1100
58;35;Funcionário Setor Privado;Ensino Médio Completo;21;Casado;Branco;2;3014
59;41;Funcionário Setor Privado;Ensino Médio Incompleto;7;Casado;Branco;2;1100
60;30;Funcionário Setor Privado;Ensino Médio Incompleto;27;Casado;Branco;1;1100
61;30;Funcionário Setor Privado;Ensino Médio Completo;7;Casado;Branco;4;2201
62;32;;Ensino Fundamental Incompleto;12;União Estável;Branco;4;1100
63;48;Funcionário Setor Privado;Ensino Médio Incompleto;4;Casado;Branco;3;1100
64;42;Funcionário Setor Privado;Doutorado;23;Casado;Branco;4;11416
65;29;Funcionário Setor Privado;Ensino Médio Completo;27;Divorciado;Branco;4;3865
66;36;Funcionário Setor Privado;Ensino Médio Incompleto;22;Casado;Branco;1;1100
67;28;Funcionário Setor Privado;Ensino Médio Completo;1;Divorciado;Branco;0;2245
68;53;Funcionário Setor Privado;Ensino Médio Incompleto;7;Casado;Branco;3;1100
69;49;MEI;Ensino Médio Completo;5;Casado;Branco;1;5011
70;25;;Ensino Médio Completo;1;Solteiro;Branco;3;3450
71;19;Funcionário Setor Privado;Ensino Médio Completo;24;Solteiro;Branco;2;3554
