code,name,gender,function,category,organisation_code,organisation,organisation_long,disciplines,birth_date
1536406,FRATINI Elisabetta,Female,Referee,J,ITA,Italy,Italy,['Judo'],
1550583,ILIC Corina,Female,Referee,J,CRO,Croatia,Croatia,['Judo'],
1550593,MAAFI Ziad,Male,Referee,J,ALG,Algeria,Algeria,['Judo'],
1550642,FUMEA Maria,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550643,LEUNG Li Li,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550645,MIAO Zhongyi,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550646,VALENZO AOKI Naomi Chieko,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550647,AL HITMI Ali,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550648,AL TABBAA Mouhammed Youssef,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550649,CELEN Suat,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550650,ESAWY Ehab,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550651,YAGI KITAGAWA Tammy,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550652,VALERIO Rogerio,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550653,MOWBRAY Denis,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550654,PEGAN Aljaz,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550655,PENICHE FRANCO Alejandro,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550656,PERRIERE Charles,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550657,TAEYMANS Rosy,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550662,ACOSTA RODRIGUEZ Laura Patricia,Female,Judge,J,FIG,FIG,International Gymnastics Federation,['Rhythmic Gymnastics'],1964-11-17
1550672,BEDOSHVILI Eliso,Female,Judge,J,GEO,Georgia,Georgia,['Rhythmic Gymnastics'],
1550674,BOJAKOWSKI Konrad,Male,Judge,J,POL,Poland,Poland,['Trampoline Gymnastics'],
1550675,BOUROVA Roumiana,Female,Judge,J,BEL,Belgium,Belgium,['Rhythmic Gymnastics'],
1550689,DEUTSCH LAZSANYI Erika,Female,Judge,J,HUN,Hungary,Hungary,['Rhythmic Gymnastics'],
1550693,FILIPSKY Rebecca,Female,Judge,J,AUT,Austria,Austria,['Trampoline Gymnastics'],
1550694,GAIDA Viola,Female,Judge,J,GER,Germany,Germany,['Trampoline Gymnastics'],
1550695,OLIVEIRA Joao,Male,Judge,J,POR,Portugal,Portugal,['Trampoline Gymnastics'],
1550700,HALMU Delia,Female,Judge,J,AUS,Australia,Australia,['Rhythmic Gymnastics'],
1550707,JONES Andrew,Male,Judge,J,GBR,Great Britain,Great Britain,['Trampoline Gymnastics'],
1550709,KHOPERIA Rusudan,Female,Judge,J,GEO,Georgia,Georgia,['Trampoline Gymnastics'],
1550715,LHER Catherine Marie Andree,Female,Judge,J,FRA,France,France,['Rhythmic Gymnastics'],
1550723,MLEJNKOVA Blanka,Female,Judge,J,CZE,Czechia,Czechia,['Rhythmic Gymnastics'],
1550724,MROZINSKA Anna,Female,Judge,J,POL,Poland,Poland,['Rhythmic Gymnastics'],
1550725,NAVA ACEVES Paulina,Female,Judge,J,MEX,Mexico,Mexico,['Trampoline Gymnastics'],
1550729,PAZOS SANCHEZ RUBIO Maria Inmacula.,Female,Judge,J,ESP,Spain,Spain,['Trampoline Gymnastics'],
1550730,PITKANEN Saila,Female,Judge,J,FIN,Finland,Finland,['Rhythmic Gymnastics'],
1550736,REHOROVA Martina,Female,Judge,J,CZE,Czechia,Czechia,['Trampoline Gymnastics'],
1550753,SUZUKI Aoi,Female,Judge,J,JPN,Japan,Japan,['Rhythmic Gymnastics'],
1550762,van WETERING Babette,Female,Judge,J,NED,Netherlands,Netherlands,['Trampoline Gymnastics'],
1550763,VANGELOVA Mariya,Female,Judge,J,BUL,Bulgaria,Bulgaria,['Trampoline Gymnastics'],
1550776,BEKTUROVA Alua,Female,Judge,J,KAZ,Kazakhstan,Kazakhstan,['Rhythmic Gymnastics'],
1557225,STROOBANTS Marine,Female,Referee,J,BEL,Belgium,Belgium,['Judo'],
1560199,FISCHER Matthias,Male,Referee,J,GER,Germany,Germany,['Judo'],
1560200,LAMPE Nusa,Female,Referee,J,SLO,Slovenia,Slovenia,['Judo'],
1560201,CHYURLIA Pasquale,Male,Referee,J,ITA,Italy,Italy,['Judo'],
1560211,FREITAS Leandra,Female,Referee,J,POR,Portugal,Portugal,['Judo'],
1562036,SHMAKOV Vladimir,Male,Referee,J,UZB,Uzbekistan,Uzbekistan,['Judo'],
1562711,MIGLIORINI Sergio,Male,Medical Delegate,J,ITA,Italy,Italy,['Triathlon'],
1563015,BOUHEDDOU Mohamed,Male,Referee,J,FRA,France,France,['Judo'],
1563830,SZOKE Andor,Male,Referee,J,HUN,Hungary,Hungary,['Judo'],
1563872,GALEA Louisa,Female,Referee,J,MLT,Malta,Malta,['Judo'],
1563891,BILIC Miroslav,Male,Referee,J,SLO,Slovenia,Slovenia,['Judo'],
1563909,DELIU Denisa,Female,Referee,J,ROU,Romania,Romania,['Judo'],
1563980,BEREGSZASZI Zita,Female,Referee,J,HUN,Hungary,Hungary,['Judo'],
1564197,SANCHEZ del CAMPO Ana,Female,Jury Chair,J,WS,World Sailing,World Sailing,['Sailing'],
1564543,WU Jingyu,Female,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
1564544,MAGABLEH Maher,Male,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
1564548,KIM Song Chul,Male,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
1566303,ANDERSEN Jacob,Male,Jury Member,J,DEN,Denmark,Denmark,['Sailing'],
1566308,FERRANDIZ RUIZ Luis,Male,Jury Member,J,ESP,Spain,Spain,['Sailing'],
1566313,NAPIER Jon,Male,Jury Member,J,GBR,Great Britain,Great Britain,['Sailing'],
1566318,HEREDIA Gonzalo,Male,Jury Member,J,ARG,Argentina,Argentina,['Sailing'],
1566319,YOVKOVA Iskra,Female,Jury Member,J,BUL,Bulgaria,Bulgaria,['Sailing'],
1566455,BOROCZ Bence,Male,Jury Member,J,HUN,Hungary,Hungary,['Sailing'],
1566468,JEONG Sungchul,Male,Jury Member,J,KOR,Korea,Republic of Korea,['Sailing'],
1566473,GROSVENOR Sandy,Female,Jury Member,J,USA,United States,United States of America,['Sailing'],
1566474,GUERRA Rodrigo,Male,Jury Member,J,URU,Uruguay,Uruguay,['Sailing'],
1566475,LEWANDOWSKA Anastazja,Female,Jury Member,J,POL,Poland,Poland,['Sailing'],
1566476,LINDSAY Chris,Male,Jury Member,J,IRL,Ireland,Ireland,['Sailing'],
1566480,MOOKKEN Selvam,Male,Jury Member,J,SGP,Singapore,Singapore,['Sailing'],
1566482,ORTENDAHL Christina,Female,Jury Member,J,SWE,Sweden,Sweden,['Sailing'],
1566488,SCOTT Luke,Male,Jury Member,J,RSA,South Africa,South Africa,['Sailing'],
1566489,STANIKIC Mina,Female,Jury Member,J,SRB,Serbia,Serbia,['Sailing'],
1570413,D'URBANO Francesco Jacopo,Male,Judge,J,WSK,World Skate,World Skate,['Skateboarding'],
1571122,ALSHATHRI A Rahman,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1571123,KIM Nellia,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1571124,TITOV Vasilii,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1571143,ALIPRANDI Elena,Female,Judge,J,FIG,FIG,International Gymnastics Federation,['Rhythmic Gymnastics'],1975-04-09
1571146,DRAGAS Spela,Female,Judge,J,SLO,Slovenia,Slovenia,['Rhythmic Gymnastics'],
1571149,IEROMINA Nataliia,Female,Judge,J,UKR,Ukraine,Ukraine,['Rhythmic Gymnastics'],
1893012,CHIARI Roberto,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1893016,THOMSON Mike,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1893040,DUPUCHE Crystal,Female,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1893057,VAQUERA Alejandro,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1893105,SHAFAGHI Shahrad,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1893111,KAUPPINEN Hannu,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1893239,CASTRO Antonio,Male,Referee,J,CUB,Cuba,Cuba,['Judo'],
1893241,MURADOV Abdullo,Male,Referee,J,UZB,Uzbekistan,Uzbekistan,['Judo'],
1894925,AMANTINO Giseli,Female,Referee,J,BRA,Brazil,Brazil,['Beach Volleyball'],
1894929,BOCK Stephen,Male,Referee,J,FIVB,FIVB,International Volleyball Federation,['Volleyball'],
1894942,CARVALHO Rui Jorge,Male,Referee,J,POR,Portugal,Portugal,['Beach Volleyball'],
1894943,HIEBERT Brian,Male,Referee,J,CAN,Canada,Canada,['Beach Volleyball'],
1894944,RENE Karina,Female,Referee,J,ARG,Argentina,Argentina,['Volleyball'],
1894975,CRESCENTINI Davide,Male,Referee,J,ITA,Italy,Italy,['Beach Volleyball'],
1894976,SIMONOVIC Vladimir,Male,Referee,J,SUI,Switzerland,Switzerland,['Volleyball'],
1894978,WANG Lijun,Female,Referee,J,CHN,China,People's Republic of China,['Beach Volleyball'],
1894979,BEATIE Brigham,Male,Referee,J,USA,United States,United States of America,['Beach Volleyball'],
1895002,SATOMI Mariko,Female,Referee,J,JPN,Japan,Japan,['Beach Volleyball'],
1895006,SAAVEDRA CACERES Juan Carlos,Male,Referee,J,COL,Colombia,Colombia,['Beach Volleyball'],
1895007,OZBAR Nurper,Female,Referee,J,TUR,Türkiye,Türkiye,['Volleyball'],
1895009,IVANOV Ivaylo,Male,Referee,J,BUL,Bulgaria,Bulgaria,['Volleyball'],
1895011,DRUART Sylvain,Male,Referee,J,FRA,France,France,['Beach Volleyball'],
1895012,MYSZKOWSKA Agnieszka,Female,Referee,J,POL,Poland,Poland,['Beach Volleyball'],
1895013,PAPADOGOULAS Charalampos,Male,Referee,J,GRE,Greece,Greece,['Beach Volleyball'],
1895017,CESARE Stefano,Male,Referee,J,ITA,Italy,Italy,['Volleyball'],
1895018,LEKO Robert,Male,Referee,J,SRB,Serbia,Serbia,['Beach Volleyball'],
1895019,GUILLEMETTE Lucie,Female,Challenge Referee,J,CAN,Canada,Canada,['Beach Volleyball'],
1895020,GRASS Angela,Female,Referee,J,BRA,Brazil,Brazil,['Volleyball'],
1895021,KANDIL Wael,Male,Referee,J,EGY,Egypt,Egypt,['Volleyball'],
1895022,BENNETT John,Male,Challenge Referee,J,AUS,Australia,Australia,['Beach Volleyball'],
1895023,MOKRY Juraj,Male,Referee,J,SVK,Slovakia,Slovakia,['Volleyball'],
1895025,COLLADOS Fabrice,Male,Referee,J,FRA,France,France,['Volleyball'],
1895026,RAPISARDA Daniele,Male,Challenge Referee,J,ITA,Italy,Italy,['Volleyball'],
1895027,BOUDAYA Taoufik,Male,Challenge Referee,J,TUN,Tunisia,Tunisia,['Volleyball'],
1895028,ALROUSI ALHAMMADI Hamid Mohamed Ah.,Male,Referee,J,UAE,UA Emirates,United Arab Emirates,['Volleyball'],
1895031,GEROTHODOROS Epaminondas,Male,Referee,J,GRE,Greece,Greece,['Volleyball'],
1895034,SUMAVIL Osvaldo,Male,Referee,J,ARG,Argentina,Argentina,['Beach Volleyball'],
1895035,BRONISZ Robert,Male,Challenge Referee,J,POL,Poland,Poland,['Beach Volleyball'],
1895037,CESPEDES Denny,Male,Referee,J,DOM,Dominican Republic,Dominican Republic,['Volleyball'],
1895038,DZIEWIRZ Scott,Male,Referee,J,CAN,Canada,Canada,['Volleyball'],
1895040,PADRON Jose Maria,Male,Referee,J,ESP,Spain,Spain,['Beach Volleyball'],
1895042,MAROSZEK Wojciech,Male,Referee,J,POL,Poland,Poland,['Volleyball'],
1895047,MYOI Sumie,Female,Referee,J,JPN,Japan,Japan,['Volleyball'],
1895048,MUKUNDIYUKURI Jean de Dieu,Male,Referee,J,RWA,Rwanda,Rwanda,['Beach Volleyball'],
1897318,CSOSZ Imre,Male,Referee,J,HUN,Hungary,Hungary,['Judo'],
1898273,HUNT Patrick,Male,Jury Member,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898633,AL SHUWAILI Ahmed,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898640,ANAYA Julio,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898648,BAKI Kerem,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898669,BARTEL Andres,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898675,BATISTA Johnny,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898693,BEKER Scott,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898701,BERMUDEZ Omar,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898712,BONNER Amy,Female,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898728,BURNS Blanca,Female,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898782,CASTILLO Luis,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898799,CHUECA Ariadna,Female,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898911,CONDE Antonio,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1899120,SUTHERLAND Jamie,Male,Jury Member,J,NZL,New Zealand,New Zealand,['Sailing'],
1899125,TANAKA Masaaki,Male,Jury Member,J,JPN,Japan,Japan,['Sailing'],
1899135,WILMINK E V den BURGER Pauline,Female,Jury Member,J,NED,Netherlands,Netherlands,['Sailing'],
1906878,SMAK Wouter,Male,Judge,J,UCI,UCI,Union Cycliste Internationale,['Cycling BMX Freestyle'],
1916068,MORARD Tristan,Male,Referee,J,SUI,Switzerland,Switzerland,['Wrestling'],
1916391,VILLET Charles,Male,Referee,J,RSA,South Africa,South Africa,['Wrestling'],
1916453,BARGAILA Deividas,Male,Referee,J,LTU,Lithuania,Lithuania,['Wrestling'],
1916503,VEYRAT Emmanuel,Male,Referee,J,FRA,France,France,['Wrestling'],
1916629,BOUAZIZ Youssef,Male,Referee,J,TUN,Tunisia,Tunisia,['Wrestling'],
1916804,MENKOVAS Kirilas,Male,Referee,J,LTU,Lithuania,Lithuania,['Wrestling'],
1916826,NEDELJKOVIC Leonardo,Male,Referee,J,SRB,Serbia,Serbia,['Wrestling'],
1916838,BORJANOVIC Borislav,Male,Referee,J,SRB,Serbia,Serbia,['Wrestling'],
1920697,CHIASSON Marcia,Female,Referee,J,CAN,Canada,Canada,['Wrestling'],
1920703,KOUTSOPODIOTIS Demetra,Female,Referee,J,CAN,Canada,Canada,['Wrestling'],
1920739,SUN Jian,Male,Referee,J,CHN,China,People's Republic of China,['Wrestling'],
1920745,OCIC Zvonko,Male,Referee,J,CRO,Croatia,Croatia,['Wrestling'],
1921064,SCHEINER Vaclav,Male,Referee,J,CZE,Czechia,Czechia,['Wrestling'],
1921117,HIETALA Joonas,Male,Referee,J,FIN,Finland,Finland,['Wrestling'],
1921173,TRAN Melanie,Female,Referee,J,FRA,France,France,['Wrestling'],
1922135,JIBLADZE Zaza,Male,Referee,J,GEO,Georgia,Georgia,['Wrestling'],
1922182,SCHERER Ramona,Female,Referee,J,GER,Germany,Germany,['Wrestling'],
1922183,DAHRA Amel,Female,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922369,DAVIDSON Yann,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922392,SCHMITT Karl Peter,Male,Referee,J,GER,Germany,Germany,['Wrestling'],
1922396,FERNANDEZ Juan,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922427,GEORGIOU Pavlina,Female,Referee,J,GRE,Greece,Greece,['Wrestling'],
1922432,FORSBERG Maj,Female,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922550,GYORGYI Viola,Female,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922553,LIAKOS Christos,Male,Referee,J,GRE,Greece,Greece,['Wrestling'],
1922569,KALLIO Matthew,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922570,SLEISZ Gabriella,Female,Referee,J,HUN,Hungary,Hungary,['Wrestling'],
1922591,KATO Takaki,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922614,KOZLOVSKIS Martins,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922689,KREJIC Boris,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1923016,LEE Jiwoo,Female,Referee,J,KOR,Korea,Republic of Korea,['Wrestling'],
1927242,WARWICK Richard Jaydes,Male,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
1928960,LISZKA Wojciech,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1929700,TOOLEY Jim,Male,Jury Member,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1929719,BRENSCHEIDT Wolfgang,Male,Jury Member,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1929775,BARTLETT Michael,Male,Jury Member,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
